orientation,accelerationIncludingGravity-x,accelerationIncludingGravity-y,accelerationIncludingGravity-z,accelerationIncludingGravity-timestamp,retationRate-gamma,retationRate-beta,retationRate-alpha,retationRate-timestamp,interval,acceleration-x,acceleration-y,acceleration-z,acceleration-timestamp,rotation-alpha,rotation-beta,rotation-gamma,rotation-timestamp,timestamp,label,id
0,0.11701660614013672,-0.30705634464873,-9.655066522869467,3380.2609485000003,-0.2403325323039164,-0.7181419375084492,0.05600537006924265,3380.2609485000003,0.01,0.08915428342283703,-0.022208562138769775,0.14740589918494224,3380.2609485000003,1.825457997468259,0.0290504763987582,0.0028423692771254597,3380.2609485000003,1738339983206,World,71
0,-0.015113400263024959,-0.2727893333877437,-9.958531583294272,3380.2709995,0.34280724780379285,1.1829815071702154,0.02237869793388357,3380.2709995,0.01,-0.04373768151286058,0.012324717109277844,-0.1560690981119871,3380.2709995,1.8254547588051588,0.02907763938903816,0.0029201030005463506,3380.2709995,1738339983216,World,71
0,0.018405427545739803,-0.28580784144746135,-9.856180046844482,3380.2810495000003,-0.21477942057693677,-0.5855273581094519,-0.015997156809816115,3380.2810495000003,0.01,-0.010896798631432466,-0.0004758921497501433,-0.05372574496865272,3380.2810495000003,1.825456601166687,0.029099867733411666,0.0029892655904659154,3380.2810495000003,1738339983226,World,71
0,0.081552489482495,-0.28924948806762696,-9.696217448425292,3380.2910995,-0.1367695222093336,-0.3600293830329949,0.03872292707111418,3380.2910995,0.01,0.0534723410297418,-0.004350596424937248,0.10625322006344795,3380.2910995,1.8254620965018704,0.029055690389264466,0.0028645912086111896,3380.2910995,1738339983236,World,71
0,-0.0038905754144652745,-0.27623101654052734,-9.903315892028807,3380.3011505000004,0.2221171915198593,0.6846788664129998,-0.005359717476796442,3380.3011505000004,0.01,-0.032510532115632665,0.008927019228693097,-0.10085457589030265,3380.3011505000004,1.825462413206287,0.02908212721814104,0.002919662048906734,3380.3011505000004,1738339983246,World,71
0,0.027234048450854604,-0.29284079055786133,-9.85782606048584,3380.3112005000003,-0.10622634364385142,-0.4040784469291707,0.001976959568641845,3380.3112005000003,0.01,-0.001761979587667156,-0.007576554467808454,-0.05536883600056171,3380.3112005000003,1.8254623293204832,0.029092961066561826,0.0029580280570803315,3380.3112005000003,1738339983256,World,71
0,0.0677858322198852,-0.2998737579345703,-9.769539874267577,3380.3212515,-0.029245756118190507,-0.16604133843405464,0.023446075074256733,3380.3212515,0.01,0.03945944707123562,-0.014882548365928231,0.032927287089824675,3380.3212515,1.8254750017712738,0.029065106869003772,0.002889711955284541,3380.3212515,1738339983266,World,71
0,0.02349310150699457,-0.2745850028991699,-9.869048880767822,3380.3313015000003,0.1420989107113683,0.4328769257083246,0.026487993869625134,3380.3313015000003,0.01,-0.0051998199656838546,0.010595336033403872,-0.06658814915120602,3380.3313015000003,1.8254822770792765,0.02908440084893424,0.0029271057352577407,3380.3313015000003,1738339983276,World,71
0,0.053270989221765194,-0.27667992935180663,-9.827000714111328,3380.3413525,-0.14749764164173446,-0.31428493811877495,0.02889888389397435,3380.3413525,0.01,0.024463816552539354,0.00857031474551186,-0.02454232058227062,3380.3413525,1.8254826374739987,0.02909153283491911,0.0029387619058813845,3380.3413525,1738339983286,World,71
0,0.03785831146793207,-0.28909985046386716,-9.796325005340575,3380.3514025000004,0.004594502836023616,-0.09897450368440278,0.0340453947479926,3380.3514025000004,0.01,0.00954655991612235,-0.003985069314483553,0.00613864888548851,3380.3514025000004,1.825499626941375,0.029077714656908393,0.0028882202646171593,3380.3514025000004,1738339983296,World,71
